,tune
2498,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Dbm6'), ('1', 'C7b9'), ('1', 'Fm7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2499,"[('1', 'Abmaj7'), ('2', 'Bm7'), ('2', 'E7'), ('1', 'Amaj7'), ('2', 'Cm7'), ('2', 'Gbm7'), ('1', 'Bbmaj7'), ('2', 'Dbm7'), ('2', 'Gb7'), ('1', 'Bmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2500,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'Dbm6'), ('1', 'C7b9'), ('1', 'Fm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm6'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2501,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'C7b9'), ('1', 'Fm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
2502,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'C7b9'), ('1', 'Fm7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
2503,"[('1', 'Am7'), ('1', 'Am7'), ('1', 'G7'), ('1', 'G7'), ('1', 'Am7'), ('1', 'Am7'), ('2', 'G7'), ('2', 'Am7'), ('1', 'G7')]"
2504,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'C7b9'), ('1', 'Fm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Am7b5'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm')]"
2505,"[('2', 'Cmaj7'), ('2', 'Caug'), ('2', 'C6'), ('2', 'Cmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Caug'), ('2', 'C6'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7')]"
2506,"[('2', 'Cmaj7'), ('2', 'Caug'), ('2', 'C6'), ('2', 'Cmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Caug'), ('2', 'C6'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7')]"
2507,"[('1', 'C6'), ('1', 'C7'), ('2', 'Fmaj7'), ('4', 'Dm7'), ('4', 'G7'), ('2', 'C6'), ('2', 'G7'), ('1', 'C6'), ('1', 'A7b9'), ('1', 'D7#5'), ('1', 'G7')]"
2508,"[('2', 'Cmaj7'), ('2', 'Caug'), ('2', 'C6'), ('2', 'Cmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('2', 'Cmaj7'), ('2', 'Caug'), ('2', 'C6'), ('2', 'Cmaj7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7')]"
2509,"[('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2510,"[('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2511,"[('1', 'Ebmaj7'), ('1', 'Ebmaj7'), ('1', 'C7b9'), ('1', 'C7b9'), ('1', 'Fm7'), ('1', 'Gbdim7'), ('1', 'Dm7b5'), ('1', 'G7b9')]"
2512,"[('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2513,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]"
2514,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7')]"
2515,"[('2', 'Gm7'), ('2', 'C7'), ('2', 'Gm7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'G7')]"
2516,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7')]"
2517,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Fm7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Bm7'), ('2', 'A7'), ('2', 'Ab7'), ('2', 'Abm7')]"
2518,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Fm7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('4', 'Dbm'), ('4', 'Gbm'), ('4', 'Dbm/E'), ('4', 'Dm'), ('4', 'Dbm'), ('4', 'Dm'), ('4', 'Dbm/E'), ('4', 'Gbm')]"
2519,"[('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Bm7'), ('2', 'E7'), ('2', 'Amaj7'), ('2', 'Gbm7'), ('2', 'Bm7'), ('2', 'E7'), ('1', 'Abm7')]"
2520,"[('1', 'Cmaj7'), ('2', 'Gm7'), ('2', 'Dbm7'), ('1', 'Fmaj7'), ('2', 'Fm7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Em7'), ('2', 'Dm7'), ('2', 'Abm7')]"
2521,"[('1', 'D7sus'), ('1', 'D7sus'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Am7'), ('1', 'Am7')]"
2522,"[('1', 'Dm'), ('1', 'Bm/D'), ('1', 'Dm'), ('1', 'Bm/D'), ('2', 'Dm'), ('2', 'Dm/C'), ('1', 'Bbmaj7'), ('1', 'Bm7b5'), ('1', 'E7b9')]"
2523,"[('1', 'D7sus'), ('1', 'D7sus'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Am7'), ('1', 'Am7')]"
2524,"[('1', 'Fmaj7#11'), ('1', 'Ebmaj7'), ('1', 'Abmaj7#11'), ('1', 'Gm7'), ('1', 'C7sus'), ('1', 'C7sus'), ('1', 'C7sus'), ('1', 'C7sus')]"
2525,"[('1', 'Em7'), ('1', 'A7#5'), ('1', 'Dm11'), ('1', 'G7b9sus'), ('1', 'Fdim7/C'), ('1', 'Am7'), ('1', 'Gb/D'), ('1', 'G7b9sus'), ('1', 'Em7'), ('2', 'Bbm7'), ('2', 'Em9'), ('1', 'Dm11'), ('1', 'G7b9sus'), ('1', 'Fdim7/C'), ('1', 'Am7'), ('1', 'Fm11'), ('1', 'Bm7b9sus'), ('1', 'Gm7'), ('1', 'C7b9b5'), ('1', 'Fm11'), ('1', 'Bm7b9sus'), ('1', 'Adim7'), ('1', 'Cm7'), ('1', 'Am11'), ('1', 'D7b9b5')]"
2526,"[('1', 'Gmaj7/D'), ('1', 'Dm7'), ('1', 'Db/A'), ('2', 'B/A'), ('2', 'B7'), ('1', 'Emaj7#5'), ('1', 'Amaj7'), ('1', 'Ebm11'), ('2', 'Absus'), ('2', 'Bsus'), ('1', 'Em9sus'), ('1', 'Em7b9b5'), ('1', 'E9sus'), ('2', 'E9sus'), ('2', 'E7'), ('1', 'Amaj7'), ('1', 'Gbm7'), ('2', 'Cmaj7/D'), ('2', 'Bmmaj7/C'), ('2', 'Ammaj7'), ('2', 'G7')]"
2527,"[('1', 'Em7'), ('1', 'A7#5'), ('1', 'Dm11'), ('1', 'G7b9sus'), ('1', 'C69'), ('1', 'Am7'), ('1', 'Gbm7'), ('1', 'B7#9#5'), ('1', 'Cadd9'), ('1', 'A7#5'), ('1', 'Dm11'), ('1', 'Gsus')]"
2528,"[('1', 'Cmaj7/G'), ('1', 'G13sus'), ('1', 'Cmaj7/G')]"
2529,"[('1', 'Em7'), ('1', 'A7#5'), ('1', 'Dm11'), ('1', 'G7b9sus'), ('1', 'Fdim7/C'), ('1', 'Am7'), ('1', 'Gb/D'), ('1', 'G7b9sus'), ('1', 'Em7'), ('2', 'Bbm7'), ('2', 'Em9'), ('1', 'Dm11'), ('1', 'G7b9sus'), ('1', 'Fdim7/C'), ('1', 'Am7'), ('1', 'Fm11'), ('1', 'Bm7b9sus'), ('1', 'Gm7'), ('1', 'C7b9b5'), ('1', 'Fm11'), ('1', 'Bm7b9sus'), ('1', 'Adim7'), ('1', 'Cm7'), ('1', 'Am11'), ('1', 'D7b9b5')]"
2530,"[('1', 'Gmaj7/D'), ('1', 'Dm7'), ('1', 'Db/A'), ('2', 'B/A'), ('2', 'B7'), ('1', 'Emaj7#5'), ('1', 'Amaj7'), ('1', 'Ebm11'), ('2', 'Absus'), ('2', 'Bsus'), ('1', 'Em9sus'), ('1', 'Em7b9b5'), ('1', 'E9sus'), ('2', 'E9sus'), ('2', 'E7'), ('1', 'Amaj7'), ('1', 'Gbm7'), ('2', 'Cmaj7/D'), ('2', 'Bmmaj7/C'), ('2', 'Ammaj7'), ('2', 'G7')]"
2531,"[('1', 'Em7'), ('1', 'A7#5'), ('1', 'Dm11'), ('1', 'G7b9sus'), ('1', 'C69'), ('1', 'Am7'), ('1', 'Gbm7'), ('1', 'B7#9#5'), ('1', 'Cadd9'), ('1', 'A7#5'), ('1', 'Dm11'), ('1', 'Gsus')]"
2532,"[('1', 'Cmaj7/G'), ('1', 'G13sus'), ('1', 'Cmaj7/G'), ('1', 'G13sus'), ('2', 'F'), ('2', 'Gb/D'), ('2', 'Em/G'), ('2', 'Ab/E'), ('2', 'A/F'), ('2', 'Bmmaj7'), ('1', 'B/G'), ('1', 'Cm9')]"
2533,"[('2', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Dbm13'), ('2', 'Gbm7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Ab9#11'), ('2', 'Abm7sus'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7sus'), ('1', 'Cmaj7')]"
2534,"[('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7sus'), ('4', 'Abdim7'), ('4', 'Abdim7'), ('4', 'Abm7'), ('4', 'Abm7'), ('2', 'Am7/E'), ('2', 'A7b9'), ('2', 'Gbm7b5'), ('2', 'B7'), ('2', 'Em7'), ('2', 'A7b9'), ('1', 'Dm7'), ('1', 'Db13')]"
2535,"[('2', 'Cmaj7'), ('2', 'Fmaj7'), ('2', 'Dbm69'), ('2', 'Fmaj7'), ('2', 'Cmaj7'), ('2', 'Dbdim7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Ab9#11'), ('2', 'G7sus'), ('2', 'G7'), ('2', 'D7'), ('2', 'Abm7sus'), ('2', 'Dbm9'), ('2', 'Gb7')]"
2536,"[('2', 'Fmaj7'), ('2', 'Abm7'), ('2', 'Gbm7b5/E'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'Em7b5'), ('2', 'Fmaj7'), ('2', 'Fm6'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Dm7b5'), ('2', 'Dbm69'), ('2', 'Dm7'), ('2', 'Abm7sus')]"
2537,"[('1', 'C'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'C6'), ('1', 'Cmaj7'), ('1', 'A7'), ('1', 'Dm7'), ('1', 'G7')]"
2538,"[('2', 'Dm7'), ('2', 'DmM7'), ('2', 'DmM7'), ('2', 'Dm7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'Cmaj7'), ('2', 'Gbm7'), ('2', 'B7')]"
2539,"[('1', 'Emaj7'), ('2', 'Gbm7'), ('2', 'B7'), ('1', 'Emaj7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'Gmaj7'), ('2', 'Am7'), ('2', 'D7'), ('1', 'G7'), ('2', 'Dm7'), ('2', 'G7')]"
2540,"[('1', 'C'), ('1', 'Cmaj7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Dm7'), ('1', 'G7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
2541,"[('1', 'D7'), ('1', 'G7'), ('1', 'C6'), ('1', 'C6'), ('1', 'C7'), ('1', 'C7'), ('1', 'F'), ('1', 'F')]"
2542,"[('1', 'Fm'), ('1', 'Fm'), ('1', 'C6'), ('1', 'A7'), ('1', 'D7'), ('1', 'D7'), ('1', 'G7'), ('4', 'G7'), ('4', 'C'), ('2', 'Am7')]"
2543,"[('1', 'D7'), ('1', 'G7'), ('1', 'C6'), ('1', 'C6'), ('1', 'C7'), ('1', 'C7'), ('1', 'F'), ('1', 'F')]"
2544,"[('1', 'Fm'), ('1', 'Fm'), ('1', 'C6'), ('1', 'A7'), ('1', 'D7'), ('1', 'G7'), ('1', 'C6'), ('1', 'C6')]"
2545,"[('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'Adim7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Gm9'), ('2', 'C7#5')]"
2546,"[('1', 'Fmaj7'), ('1', 'Bm9'), ('2', 'C6'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'E7#5')]"
2547,"[('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'Adim7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Gm9'), ('2', 'C7#5')]"
2548,"[('1', 'Fmaj7'), ('1', 'Bm9'), ('2', 'C6'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'E7#5')]"
2549,"[('1', 'Cmaj7')]"
2550,"[('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'Adim7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Gm9'), ('2', 'C7#5')]"
2551,"[('1', 'Fmaj7'), ('1', 'Bm9'), ('2', 'C6'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'E7#5')]"
2552,"[('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'Adim7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fmaj7'), ('2', 'Bm7b5'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Gm9'), ('2', 'C7#5')]"
2553,"[('1', 'Fmaj7'), ('1', 'Bm9'), ('2', 'C6'), ('2', 'E7#5'), ('2', 'Am7'), ('2', 'E7#5')]"
2554,"[('2', 'Em7'), ('2', 'A13'), ('2', 'Dm7'), ('2', 'G9'), ('2', 'Em7'), ('2', 'Edim7'), ('2', 'Dm7'), ('2', 'G9'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
2555,"[('1', 'Am7'), ('2', 'Gbm7b5'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7#5'), ('1', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Bm7')]"
2556,"[('1', 'Am7'), ('2', 'Gbm7b5'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7#5'), ('1', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Bm7')]"
2557,"[('1', 'E7#9'), ('1', 'E7#9'), ('1', 'A7'), ('1', 'A7'), ('1', 'D7#9'), ('1', 'D7#9'), ('1', 'G7'), ('2', 'G7'), ('2', 'E7#9')]"
2558,"[('1', 'Am7'), ('2', 'Gbm7b5'), ('2', 'Gbm7'), ('2', 'Em7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7#5'), ('1', 'Dbm7'), ('2', 'Gbm7'), ('2', 'Bm7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'E7#9')]"
2559,"[('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('2', 'Am7'), ('2', 'G7b9'), ('1', 'Cm7'), ('1', 'Am7'), ('2', 'Ebm7'), ('2', 'Am7'), ('1', 'Dbmaj7'), ('2', 'Dm7b5'), ('2', 'G7')]"
2560,"[('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Bbm7'), ('1', 'Em7'), ('1', 'Abmaj7'), ('1', 'Abmaj7'), ('1', 'Adim7'), ('1', 'Ebmaj7/Bb'), ('1', 'Bdim7'), ('1', 'Cm7'), ('1', 'Am7'), ('1', 'G7b9'), ('1', 'Cm7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
2561,"[('1', 'Fmaj7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'Abm7')]"
2562,"[('1', 'Fmaj7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'Abm7')]"
2563,"[('1', 'Bm7'), ('1', 'E7'), ('1', 'Amaj7'), ('1', 'Amaj7'), ('1', 'Am7'), ('1', 'Ebm7'), ('1', 'Bm7'), ('2', 'E7'), ('2', 'E7')]"
2564,"[('1', 'Fmaj7'), ('1', 'Abm7'), ('1', 'Cmaj7'), ('2', 'Em7'), ('2', 'A7'), ('1', 'Dm7'), ('1', 'Ebdim7'), ('1', 'Dbm6/E'), ('1', 'Ebdim7'), ('1', 'Dm7'), ('1', 'Abm7'), ('1', 'Dbm6'), ('2', 'Gm7'), ('2', 'Dbm7')]"
2565,"[('1', 'A7'), ('4', 'A7'), ('4', 'Am7'), ('4', 'G7'), ('4', 'Dbdim'), ('1', 'D7'), ('4', 'D7'), ('4', 'Em7'), ('2', 'D7'), ('1', 'G7'), ('4', 'G7'), ('4', 'Am7'), ('2', 'G7'), ('2', 'C6'), ('2', 'G7'), ('1', 'C6')]"
2566,"[('1', 'A7'), ('4', 'A7'), ('4', 'Am7'), ('4', 'G7'), ('4', 'Dbdim'), ('1', 'D7'), ('4', 'D7'), ('4', 'Em7'), ('2', 'D7'), ('2', 'Gbm6'), ('2', 'Gbdim7'), ('2', 'C6/G'), ('2', 'A7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'A7'), ('2', 'D7'), ('2', 'G7'), ('2', 'C6'), ('2', 'E7')]"
2567,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'D7'), ('1', 'Dm7'), ('1', 'Cm6'), ('1', 'Cm6'), ('1', 'D7'), ('1', 'G7'), ('1', 'Gm7b5'), ('1', 'C7b9'), ('1', 'Fm6'), ('1', 'Fm6'), ('1', 'Cm6'), ('1', 'D7'), ('1', 'D7'), ('1', 'G7')]"
2568,"[('1', 'Cm6'), ('1', 'Cm6'), ('1', 'D7'), ('1', 'G7b9'), ('1', 'C7b9'), ('1', 'C7b9'), ('1', 'Fm6'), ('1', 'Fm6'), ('1', 'Fm6'), ('1', 'Dm7b5'), ('1', 'Cm6'), ('1', 'A7'), ('1', 'Dm7b5'), ('1', 'G7b9'), ('1', 'Cm6'), ('1', 'Cm6')]"
2569,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7')]"
2570,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7')]"
2571,"[('2', 'C6/G'), ('2', 'G7#5'), ('1', 'C7'), ('2', 'Gm7'), ('2', 'C7#5'), ('1', 'Fmaj7'), ('2', 'B7'), ('2', 'Bm7'), ('1', 'A7b9'), ('1', 'D7'), ('1', 'G7#5')]"
2572,"[('2', 'Cmaj7'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'Cmaj7'), ('2', 'C7'), ('2', 'Fmaj7'), ('2', 'Bm7'), ('2', 'Em7'), ('2', 'A7#9'), ('2', 'Dm7'), ('2', 'G7'), ('2', 'C6'), ('2', 'Am7'), ('2', 'Dm7'), ('2', 'G7')]"
2573,"[('1', 'Dbm6'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Abm7')]"
2574,"[('1', 'Gm7'), ('1', 'Dbm7'), ('1', 'Fmaj7'), ('1', 'Fmaj7'), ('1', 'Am7'), ('1', 'D7'), ('2', 'Abm7'), ('2', 'A7#5'), ('2', 'D7'), ('2', 'Abm7')]"
2575,"[('1', 'Dbm6'), ('2', 'Em7'), ('2', 'A7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Em7b5'), ('2', 'A7b9'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'Bm7'), ('1', 'Dbm6')]"
2576,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
2577,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
2578,"[('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
2579,"[('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Dbmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'Cmaj7')]"
2580,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
2581,"[('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7'), ('1', 'Cm7')]"
2582,"[('1', 'Cm7'), ('1', 'C7'), ('1', 'Cm7'), ('1', 'F9'), ('1', 'Cm7'), ('1', 'F13'), ('1', 'Cm7'), ('1', 'F7')]"
2583,"[('1', 'Fm7'), ('1', 'F7'), ('1', 'Fm7'), ('1', 'Bb9'), ('1', 'Fm7'), ('1', 'Bb13'), ('1', 'Fm6'), ('1', 'Bb7')]"
2584,"[('1', 'Fm7'), ('1', 'Bb7'), ('2', 'Ebmaj7'), ('2', 'Ab7'), ('2', 'Gm7'), ('2', 'C7'), ('1', 'Fm7'), ('1', 'Bb7'), ('1', 'Ebmaj7'), ('1', 'Dm7b5'), ('1', 'G7')]"
2585,"[('1', 'Cm7'), ('1', 'C7'), ('1', 'Cm7'), ('1', 'F9'), ('1', 'Cm7'), ('1', 'F13'), ('1', 'Cm6'), ('1', 'F7'), ('1', 'C6'), ('2', 'Dm7'), ('2', 'G7')]"
2586,"[('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Abm7#5'), ('2', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'D7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'Abm7')]"
2587,"[('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Abm7#5'), ('2', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'D7'), ('2', 'D7'), ('2', 'Dm7'), ('2', 'Abm7')]"
2588,"[('1', 'Fmaj7'), ('1', 'A7b9'), ('1', 'Dm7'), ('1', 'Ebdim7'), ('1', 'Am7'), ('1', 'D7'), ('2', 'Dm7'), ('2', 'A7b9'), ('2', 'Dm7'), ('4', 'Abm7'), ('4', 'A7')]"
2589,"[('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Cmaj7'), ('2', 'Abm7#5'), ('2', 'Cmaj7'), ('2', 'Cmaj7'), ('2', 'D7'), ('2', 'Ebdim7'), ('2', 'Em7'), ('2', 'A7b9'), ('2', 'Dm7'), ('2', 'Abm7'), ('2', 'Dbm6'), ('2', 'A7b9')]"
2590,"[('1', 'Cm6'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm6'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm6'), ('2', 'Gm7b5'), ('2', 'C7b9'), ('1', 'Fm7'), ('1', 'Fm7'), ('2', 'Am7'), ('2', 'D7'), ('2', 'Fm7'), ('2', 'Bb7'), ('1', 'Ebmaj7'), ('2', 'Dm7b5'), ('2', 'G7b9')]"
